Description,Price,Rating,ReviewCount,Url
"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6183-KR (Renewed)",$449.99,4.1 out of 5 stars,44,https://www.amazon.com/EVGA-GeForce-Support-Graphics-08G-P4-6183-KR/dp/B07K8SDFQV/ref=sr_1_1?keywords=1080&qid=1668556656&sr=8-1
New Balance Men's Fresh Foam X 1080 V12 Running Shoe,$159.99,4.6 out of 5 stars,633,https://www.amazon.com/New-Balance-Running-Eclipse-Vibrant/dp/B096N8D4CZ/ref=sr_1_2?keywords=1080&qid=1668556656&sr=8-2
GIGABYTE GeForce GTX 1080 Ti Gaming OC 11GB Graphic Cards N108TGAMINGOC-11GD (Renewed),$649.99,3.9 out of 5 stars,42,https://www.amazon.com/Gigabyte-GeForce-Graphic-N108TGAMINGOC-11GD-Renewed/dp/B07MQJSQ6C/ref=sr_1_3?keywords=1080&qid=1668556656&sr=8-3
ASUS ROG STRIX GeForce GTX 1080 TI 11GB VR Ready 5K HD Gaming Graphics Card (ROG-STRIX-GTX1080TI-11G-GAMING) (Renewed),$599.99,3.6 out of 5 stars,18,https://www.amazon.com/ASUS-GeForce-Graphics-ROG-STRIX-GTX1080TI-11G-GAMING-Renewed/dp/B07KBD66WM/ref=sr_1_4?keywords=1080&qid=1668556656&sr=8-4
"EVGA GeForce GTX 1080 Ti SC2 Gaming, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, Asynch Fan, Optimized Airflow Design Graphics Card 11G-P4-6593-KR (Renewed)",$549.99,4.1 out of 5 stars,166,https://www.amazon.com/EVGA-GeForce-Gaming-GDDR5X-Technology/dp/B07MBR8568/ref=sr_1_5?keywords=1080&qid=1668556656&sr=8-5
ASUS GeForce GTX 1080 8GB ROG Strix Graphics Card (STRIX-GTX1080-A8G-GAMING) (Renewed),$449.99,4.2 out of 5 stars,47,https://www.amazon.com/ASUS-GeForce-Graphics-STRIX-GTX1080-A8G-GAMING-Renewed/dp/B07JZLCR7X/ref=sr_1_6?keywords=1080&qid=1668556656&sr=8-6
Nvidia GeForce GTX 1080 8GB FE Founders Edition GDDR5X Video Graphics Card (Renewed),$449.99,4.5 out of 5 stars,16,https://www.amazon.com/Nvidia-GeForce-Founders-Graphics-Renewed/dp/B07QWZT2FV/ref=sr_1_8?keywords=1080&qid=1668556656&sr=8-8
"Power Strip, Belkin Surge Protector 6 AC Multiple Outlets, Flat Rotating Plug, 6 ft Long Heavy Duty Extension Cord for Home, Office, Travel, Computer Desktop & Charging Brick, White (1080 Joules)",$17.99,4.7 out of 5 stars,"6,084",https://www.amazon.com/Belkin-6-Outlet-Power-Protector-Rotating/dp/B000JJI6XA/ref=sr_1_9?keywords=1080&qid=1668556656&sr=8-9
NVIDIA GEFORCE GTX 1080 Ti - FE Founders Edition (Renewed),$649.99,4.1 out of 5 stars,32,https://www.amazon.com/Nvidia-GEFORCE-GTX-1080-Ti/dp/B07NHHKFLG/ref=sr_1_10?keywords=1080&qid=1668556656&sr=8-10
"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600K-10M",$216.00,4.6 out of 5 stars,"2,118",https://www.amazon.com/ZOTAC-GeForce-192-bit-Graphics-ZT-T16600K-10M/dp/B07XV7FNR2/ref=sr_1_21?keywords=1080&qid=1668556658&sr=8-21
"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio,Works with Alexa,Google Assistant,IFTTT",$35.98,4.5 out of 5 stars,"69,051",https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/dp/B08R59YH7W/ref=sr_1_22?keywords=1080&qid=1668556658&sr=8-22
